Stage,Model,Accuracy,Precision,Recall,Balanced_Accuracy,PR_AUC,ROC_AUC
Baseline,Logistic Regression,0.9022448302554462,0.6542553191489362,0.3487712665406427,0.6621752387806532,0.5590708634848998,0.9109389888649914
Baseline,Decision Tree,0.8773637067344907,0.4759660697455231,0.4773156899810964,0.7038425663430843,0.2883383454641232,0.7038425663430842
Baseline,Random Forest,0.9062258100187992,0.6635514018691588,0.4026465028355387,0.6877978913676754,0.6177424608520626,0.9351790277848472
Imbalance Strategy,Logistic Regression,0.8452947030852593,0.4196133899104196,0.8412098298676749,0.84352288612983,0.5529031804213818,0.9149981120082196
Imbalance Strategy,Decision Tree,0.8775848722768993,0.4749232343909928,0.4385633270321361,0.687158933397095,0.2739700798546992,0.6871589333970949
Imbalance Strategy,Random Forest,0.9025765785690588,0.6752475247524753,0.3223062381852552,0.6508838642397785,0.6137162078721561,0.9341461364822748
Imbalance Strategy,Logistic Regression,0.853698993696782,0.4282620465619924,0.7476370510396976,0.8076945430527229,0.5219633115760682,0.8881589180090741
Imbalance Strategy,Decision Tree,0.8548048214088245,0.4172615184944841,0.6077504725897921,0.7476448042347834,0.2994827351083192,0.7476448042347833
Imbalance Strategy,Random Forest,0.8844410040915626,0.5043653458697113,0.7098298676748582,0.8087032869996083,0.5514086627643586,0.9226205681020534
HPO,Logistic Regression,0.8452947030852593,0.4196133899104196,0.8412098298676749,0.84352288612983,0.5530134506341884,0.915013026551438
HPO,Decision Tree,0.8445206236868296,0.4060475161987041,0.7107750472589792,0.7865083752262335,0.410754420014391,0.8062509691493858
HPO,Random Forest,0.8943934534999447,0.534448160535117,0.7551984877126654,0.8340175281393634,0.6126437988401251,0.9334656308555858
